Level;Speed;Distance;ObsNum 
1;40;50;10 
2;40;50;15 
3;40;50;20 
4;40;50;25 
5;40;50;30 
6;40;35;10 
7;40;35;15 
8;40;35;20 
9;40;35;25 
10;40;35;30 
11;45;40;10 
12;45;40;15 
13;45;40;20 
14;45;40;25 
15;45;40;30 
16;45;35;10 
17;45;35;15 
18;45;35;20 
19;45;35;25 
20;45;35;30 
21;45;30;10 
22;45;30;15 
23;45;30;20 
24;45;30;25 
25;45;30;30 
26;50;40;10 
27;50;40;15 
28;50;40;20 
29;50;40;25 
30;50;40;30 
31;50;35;10 
32;50;35;15 
33;50;35;20 
34;50;35;25 
35;50;35;30 
36;50;30;10 
37;50;30;15 
38;50;30;20 
39;50;30;25 
40;50;30;30 
41;55;40;10 
42;55;40;15 
43;55;40;20 
44;55;40;25 
45;55;40;30 
46;55;35;10 
47;55;35;15 
48;55;35;20 
49;55;35;25 
50;55;35;30 
51;55;30;10 
52;55;30;15 
53;55;30;20 
54;55;30;25 
55;55;30;30 
56;60;40;10 
57;60;40;15 
58;60;40;20 
59;60;40;25  
60;60;40;30 
61;60;35;10 
62;60;35;15 
63;60;35;20 
64;60;35;25  
65;60;35;30 
66;60;30;10 
67;60;30;15  
68;60;30;20 
69;60;30;25 
70;60;30;30 
71;65;40;10 
72;65;40;15 
73;65;40;20 
74;65;40;25  
75;65;40;30 
76;65;35;10 
77;65;35;15  
78;65;35;20 
79;65;35;25 
80;65;35;30 
81;65;30;10  
82;65;30;15 
83;65;30;20 
84;65;30;25 
85;65;30;30 
86;70;70;10  
87;70;70;15 
88;70;70;20 
89;70;60;25 
90;70;60;30 
91;70;60;10 
92;70;50;15 
93;70;50;20 
94;70;50;25 
95;70;40;30 
96;70;40;10 
97;70;40;15 
98;70;30;20 
99;70;30;25 
100;70;30;30 
101;75;60;10 
102;75;60;15 
103;75;60;20 
104;75;50;10 
105;75;50;15 
106;75;50;20 
107;75;40;10 
108;75;40;15 
109;75;40;20 
110;75;30;30 
